TRAM;DIA;INTA;INTAP;INTD;INTDP;INTT;INTTP;TIPUSV;TIPUSE;PKE;PKECOOR;PKINI;REFINI;PKINICOOR;PKFI;REFFI;PKFICOOR
10007;07/03/2025;13.437;2.694;13.437;2.674;26.874;5.368;Aut.;Espiras;700;"39,88828171;-0,1963450773";0;Ac. Vilavella des de BetxÃ­;"39,8805620167;-0,1927724982";1650;CV-223;"39,8964339871;-0,1969224331"
10007;08/03/2025;6.871;505;6.515;424;13.386;929;Aut.;Espiras;700;"39,88828171;-0,1963450773";0;Ac. Vilavella des de BetxÃ­;"39,8805620167;-0,1927724982";1650;CV-223;"39,8964339871;-0,1969224331"
10007;09/03/2025;6.457;319;6.243;290;12.700;609;Aut.;Espiras;700;"39,88828171;-0,1963450773";0;Ac. Vilavella des de BetxÃ­;"39,8805620167;-0,1927724982";1650;CV-223;"39,8964339871;-0,1969224331"
10007;10/03/2025;14.053;2.985;13.490;2.904;27.543;5.889;Aut.;Espiras;700;"39,88828171;-0,1963450773";0;Ac. Vilavella des de BetxÃ­;"39,8805620167;-0,1927724982";1650;CV-223;"39,8964339871;-0,1969224331"
10007;11/03/2025;13.827;3.077;13.394;2.864;27.221;5.941;Aut.;Espiras;700;"39,88828171;-0,1963450773";0;Ac. Vilavella des de BetxÃ­;"39,8805620167;-0,1927724982";1650;CV-223;"39,8964339871;-0,1969224331"
10007;12/03/2025;14.218;3.134;13.799;3.000;28.017;6.134;Aut.;Espiras;700;"39,88828171;-0,1963450773";0;Ac. Vilavella des de BetxÃ­;"39,8805620167;-0,1927724982";1650;CV-223;"39,8964339871;-0,1969224331"
10007;13/03/2025;14.028;3.134;13.779;3.065;27.807;6.199;Aut.;Espiras;700;"39,88828171;-0,1963450773";0;Ac. Vilavella des de BetxÃ­;"39,8805620167;-0,1927724982";1650;CV-223;"39,8964339871;-0,1969224331"
10024;07/03/2025;13.774;2.793;13.787;2.725;27.561;5.518;Aut.;Espiras;2400;"39,9032257127;-0,1958323205";1650;CV-223;"39,8964339871;-0,1969224331";5000;CV-222;"39,9253599469;-0,1914422964"
10024;08/03/2025;7.003;536;6.763;441;13.766;977;Aut.;Espiras;2400;"39,9032257127;-0,1958323205";1650;CV-223;"39,8964339871;-0,1969224331";5000;CV-222;"39,9253599469;-0,1914422964"
10024;09/03/2025;6.657;326;6.274;310;12.931;636;Aut.;Espiras;2400;"39,9032257127;-0,1958323205";1650;CV-223;"39,8964339871;-0,1969224331";5000;CV-222;"39,9253599469;-0,1914422964"
10024;10/03/2025;14.447;3.093;13.803;2.969;28.250;6.062;Aut.;Espiras;2400;"39,9032257127;-0,1958323205";1650;CV-223;"39,8964339871;-0,1969224331";5000;CV-222;"39,9253599469;-0,1914422964"
10024;11/03/2025;14.162;3.194;13.700;2.918;27.862;6.112;Aut.;Espiras;2400;"39,9032257127;-0,1958323205";1650;CV-223;"39,8964339871;-0,1969224331";5000;CV-222;"39,9253599469;-0,1914422964"
10024;12/03/2025;14.595;3.256;14.156;3.070;28.751;6.326;Aut.;Espiras;2400;"39,9032257127;-0,1958323205";1650;CV-223;"39,8964339871;-0,1969224331";5000;CV-222;"39,9253599469;-0,1914422964"
10024;13/03/2025;14.466;3.261;14.150;3.137;28.616;6.398;Aut.;Espiras;2400;"39,9032257127;-0,1958323205";1650;CV-223;"39,8964339871;-0,1969224331";5000;CV-222;"39,9253599469;-0,1914422964"
10071;07/03/2025;16.059;3.036;16.092;2.942;32.151;5.978;Aut.;Espiras;7050;"39,9424199469;-0,1837731528";5000;CV-222;"39,9253599469;-0,1914422964";8000;CV-20;"39,9497402649;-0,1789669233"
10071;08/03/2025;8.092;552;7.619;426;15.711;978;Aut.;Espiras;7050;"39,9424199469;-0,1837731528";5000;CV-222;"39,9253599469;-0,1914422964";8000;CV-20;"39,9497402649;-0,1789669233"
10071;09/03/2025;7.368;362;7.115;293;14.483;655;Aut.;Espiras;7050;"39,9424199469;-0,1837731528";5000;CV-222;"39,9253599469;-0,1914422964";8000;CV-20;"39,9497402649;-0,1789669233"
10071;10/03/2025;15.917;3.427;15.618;3.178;31.535;6.605;Aut.;Espiras;7050;"39,9424199469;-0,1837731528";5000;CV-222;"39,9253599469;-0,1914422964";8000;CV-20;"39,9497402649;-0,1789669233"
10071;11/03/2025;15.815;3.621;15.526;3.125;31.341;6.746;Aut.;Espiras;7050;"39,9424199469;-0,1837731528";5000;CV-222;"39,9253599469;-0,1914422964";8000;CV-20;"39,9497402649;-0,1789669233"
10071;12/03/2025;15.938;3.583;15.864;3.302;31.802;6.885;Aut.;Espiras;7050;"39,9424199469;-0,1837731528";5000;CV-222;"39,9253599469;-0,1914422964";8000;CV-20;"39,9497402649;-0,1789669233"
10071;13/03/2025;16.043;3.629;15.894;3.359;31.937;6.988;Aut.;Espiras;7050;"39,9424199469;-0,1837731528";5000;CV-222;"39,9253599469;-0,1914422964";8000;CV-20;"39,9497402649;-0,1789669233"
10100;03/04/2025;19.827;3.996;19.202;3.994;39.029;7.990;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;04/02/2025;19.709;4.086;18.771;3.783;38.480;7.869;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;04/04/2025;21.196;3.758;20.112;3.646;41.308;7.404;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;04/06/2025;21.341;4.306;20.107;4.040;41.448;8.346;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;05/02/2025;19.743;4.099;18.837;3.785;38.580;7.884;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;05/04/2025;11.756;829;10.828;739;22.584;1.568;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;05/06/2025;21.075;4.049;19.896;3.940;40.971;7.989;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;06/02/2025;20.195;4.179;20.824;4.984;41.019;9.163;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;06/04/2025;9.946;580;9.290;400;19.236;980;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;06/06/2025;22.774;3.907;20.592;3.786;43.366;7.693;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;07/02/2025;20.654;3.928;19.562;3.760;40.216;7.688;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;07/04/2025;20.053;4.228;19.017;3.948;39.070;8.176;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;07/06/2025;12.194;942;10.809;914;23.003;1.856;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;08/02/2025;10.862;646;10.439;649;21.301;1.295;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;08/04/2025;19.580;3.976;18.953;3.829;38.533;7.805;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;08/06/2025;9.647;407;10.314;392;19.961;799;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;09/02/2025;8.284;434;8.504;309;16.788;743;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;09/04/2025;20.207;4.118;19.498;3.960;39.705;8.078;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;09/06/2025;21.835;4.307;19.639;3.873;41.474;8.180;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;10/02/2025;19.600;4.039;18.715;3.804;38.315;7.843;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10100;10/06/2025;20.311;3.944;19.201;3.754;39.512;7.698;Aut.;Espiras;10000;"39,9606318209;-0,1617837814";8000;CV-20;"39,9497402649;-0,1789669233";15000;CV-17;"39,9910388008;-0,1212910796"
10162;01/01/2025;1.426;27;1.446;23;2.872;50;Aut.;Espiras;16230;"40,0010946001;-0,1166421887";15000;CV-17;"39,9910388008;-0,1212910796";17000;CV-16;"40,007604267;-0,1136261337"
10162;01/02/2025;6.277;307;5.062;310;11.339;617;Aut.;Espiras;16230;"40,0010946001;-0,1166421887";15000;CV-17;"39,9910388008;-0,1212910796";17000;CV-16;"40,007604267;-0,1136261337"
10162;01/04/2025;12.544;2.557;9.883;2.226;22.427;4.783;Aut.;Espiras;16230;"40,0010946001;-0,1166421887";15000;CV-17;"39,9910388008;-0,1212910796";17000;CV-16;"40,007604267;-0,1136261337"
